Valid,at,Lon,Lat,Wind,Winddir,Wind-sea,Swell,Swelldir,Swellperiod,SWH,MWH,Current,SST
15-SEP-2024,06,66.00,8.000,10.33,WNW,1.27,0.956,SSW,10.1,1.59,3.02,0.13,28.75
15-SEP-2024,12,66.00,8.000,9.312,WSW,1.30,0.992,SSW,10.1,1.64,3.11,0.12,28.88
13-SEP-2024,00,79.60,8.000,17.02,WSW,1.52,0.491,SSW,14.4,1.59,3.03,-99,28.33
13-SEP-2024,06,79.60,8.000,16.93,WSW,1.38,0.477,SSW,14.3,1.46,2.79,-99,28.35
13-SEP-2024,12,79.60,8.000,16.91,SSW,1.35,0.472,SSW,14.1,1.43,2.72,-99,28.41
13-SEP-2024,18,79.60,8.000,18.98,WSW,1.52,0.462,SSW,13.2,1.59,3.03,-99,28.36
14-SEP-2024,00,79.60,8.000,17.11,WSW,1.52,0.439,SSW,13.1,1.59,3.02,-99,28.34
14-SEP-2024,06,79.60,8.000,18.02,WSW,1.52,0.410,SSW,12.7,1.57,2.99,-99,28.36
14-SEP-2024,12,79.60,8.000,21.90,WSW,1.81,0.423,SSW,12.0,1.85,3.53,-99,28.40
14-SEP-2024,18,79.60,8.000,19.37,WSW,1.81,0.459,SSW,12.0,1.87,3.56,-99,28.34
15-SEP-2024,00,79.60,8.000,19.23,WSW,1.68,0.535,SSW,16.0,1.77,3.36,-99,28.32
15-SEP-2024,06,79.60,8.000,17.89,WSW,1.56,0.642,SSW,15.9,1.69,3.21,-99,28.33
15-SEP-2024,12,79.60,8.000,18.72,SW,1.59,0.745,SSW,15.0,1.75,3.34,-99,28.36
13-SEP-2024,00,79.60,8.000,17.02,WSW,1.52,0.491,SSW,14.4,1.59,3.03,-99,28.33
13-SEP-2024,06,79.60,8.000,16.93,WSW,1.38,0.477,SSW,14.3,1.46,2.79,-99,28.35
13-SEP-2024,12,79.60,8.000,16.91,SSW,1.35,0.472,SSW,14.1,1.43,2.72,-99,28.41
13-SEP-2024,18,79.60,8.000,18.98,WSW,1.52,0.462,SSW,13.2,1.59,3.03,-99,28.36
14-SEP-2024,00,79.60,8.000,17.11,WSW,1.52,0.439,SSW,13.1,1.59,3.02,-99,28.34
14-SEP-2024,06,79.60,8.000,18.02,WSW,1.52,0.410,SSW,12.7,1.57,2.99,-99,28.36
14-SEP-2024,12,79.60,8.000,21.90,WSW,1.81,0.423,SSW,12.0,1.85,3.53,-99,28.40
14-SEP-2024,18,79.60,8.000,19.37,WSW,1.81,0.459,SSW,12.0,1.87,3.56,-99,28.34
15-SEP-2024,00,79.60,8.000,19.23,WSW,1.68,0.535,SSW,16.0,1.77,3.36,-99,28.32
15-SEP-2024,06,79.60,8.000,17.89,WSW,1.56,0.642,SSW,15.9,1.69,3.21,-99,28.33
15-SEP-2024,12,79.60,8.000,18.72,SW,1.59,0.745,SSW,15.0,1.75,3.34,-99,28.36
13-SEP-2024,00,93.20,8.000,15.97,WSW,1.48,0.870,SSW,10.6,1.72,3.27,0.88,29.25
13-SEP-2024,06,93.20,8.000,13.63,WSW,1.42,0.837,SSW,10.7,1.65,3.14,0.84,29.31
13-SEP-2024,12,93.20,8.000,15.48,WSW,1.44,0.857,SSW,10.7,1.68,3.19,1.25,29.35
13-SEP-2024,18,93.20,8.000,15.32,WSW,1.44,0.862,SSW,10.7,1.68,3.19,0.92,29.28
14-SEP-2024,00,93.20,8.000,15.60,WSW,1.47,0.852,SSW,14.1,1.70,3.23,0.86,29.22
14-SEP-2024,06,93.20,8.000,13.42,WSW,1.56,0.830,SSW,13.0,1.76,3.35,0.82,29.25
14-SEP-2024,12,93.20,8.000,17.61,WSW,1.68,0.829,SSW,13.0,1.87,3.56,0.73,29.23
14-SEP-2024,18,93.20,8.000,15.70,WSW,1.76,0.820,SSW,13.0,1.94,3.70,0.47,29.24
15-SEP-2024,00,93.20,8.000,15.25,WSW,1.74,0.797,SSW,12.2,1.92,3.64,0.48,29.21
15-SEP-2024,06,93.20,8.000,21.81,WSW,1.84,0.820,SSW,11.9,2.02,3.83,0.39,29.22
15-SEP-2024,12,93.20,8.000,17.26,WSW,1.97,0.884,SSW,11.8,2.16,4.10,0.49,29.22
13-SEP-2024,00,93.20,8.000,15.97,WSW,1.48,0.870,SSW,10.6,1.72,3.27,0.88,29.25
13-SEP-2024,06,93.20,8.000,13.63,WSW,1.42,0.837,SSW,10.7,1.65,3.14,0.84,29.31
13-SEP-2024,12,93.20,8.000,15.48,WSW,1.44,0.857,SSW,10.7,1.68,3.19,1.25,29.35
13-SEP-2024,18,93.20,8.000,15.32,WSW,1.44,0.862,SSW,10.7,1.68,3.19,0.92,29.28
14-SEP-2024,00,93.20,8.000,15.60,WSW,1.47,0.852,SSW,14.1,1.70,3.23,0.86,29.22
14-SEP-2024,06,93.20,8.000,13.42,WSW,1.56,0.830,SSW,13.0,1.76,3.35,0.82,29.25
14-SEP-2024,12,93.20,8.000,17.61,WSW,1.68,0.829,SSW,13.0,1.87,3.56,0.73,29.23
14-SEP-2024,18,93.20,8.000,15.70,WSW,1.76,0.820,SSW,13.0,1.94,3.70,0.47,29.24
15-SEP-2024,00,93.20,8.000,15.25,WSW,1.74,0.797,SSW,12.2,1.92,3.64,0.48,29.21
15-SEP-2024,06,93.20,8.000,21.81,WSW,1.84,0.820,SSW,11.9,2.02,3.83,0.39,29.22
15-SEP-2024,12,93.20,8.000,17.26,WSW,1.97,0.884,SSW,11.8,2.16,4.10,0.49,29.22
